window_id,est_start_date,est_end_date,test_start_date,test_end_date,w_rf,w_tsx,portfolio_mean,portfolio_std,portfolio_sharpe,cumulative_wealth,num_test_days,scenario,gamma
1,2015-04-01,2016-04-01,2016-04-04,2016-06-30,0.9999999991977848,8.020876816418345e-10,2.068181686217341e-05,9.41044934222588e-07,21.97750193433535,1.0013037901572277,63,unfiltered,1.0
2,2015-07-02,2016-06-30,2016-07-04,2016-09-30,0.999999998507853,1.4918239011200172e-09,1.9923576255172752e-05,7.444790953736315e-07,26.761767226215685,1.0012559608419336,63,unfiltered,1.0
3,2015-10-01,2016-09-30,2016-10-03,2017-01-03,1.2993250102280686e-09,0.9999999987003634,0.000727769231411976,0.0052799760242421175,0.1378357075999108,1.0459801839315142,63,unfiltered,1.0
4,2016-01-04,2017-01-03,2017-01-04,2017-04-03,1.3745608447795633e-10,0.9999999998623322,0.00019981338894428018,0.005279594915399212,0.03784634846917445,1.0117769519317257,63,unfiltered,1.0
5,2016-04-04,2017-04-03,2017-04-04,2017-07-04,6.550270886201746e-11,0.9999999999344145,-0.0004530215356127805,0.005641170101585052,-0.0803063065737888,0.9708810881494494,63,unfiltered,1.0
6,2016-07-04,2017-07-04,2017-07-05,2017-10-03,3.367351342005746e-09,0.9999999966323134,0.0006222121983432008,0.0037045888158316748,0.1679571551056241,1.0395159745241889,63,unfiltered,1.0
7,2016-10-03,2017-10-03,2017-10-04,2018-01-04,3.1032233672682574e-10,0.999999999689548,0.0006809980733506958,0.0030612480138672697,0.22245766114532878,1.0435133922765585,63,unfiltered,1.0
8,2017-01-04,2018-01-04,2018-01-05,2018-04-05,8.813231770640034e-10,0.9999999991183148,-0.0010322169383469556,0.006866766206604744,-0.1503206760343939,0.9356115765562698,63,unfiltered,1.0
9,2017-04-04,2018-04-05,2018-04-06,2018-07-05,0.9999999958858973,4.113770054517035e-09,4.8150761981994976e-05,3.1895265315268654e-06,15.09652342002768,1.0030380301423574,63,unfiltered,1.0
10,2017-07-05,2018-07-05,2018-07-06,2018-10-04,4.867592380682638e-10,0.9999999995129548,-0.00024600515406496916,0.004385015455136692,-0.05610131972894051,0.9840225111489206,63,unfiltered,1.0
11,2017-10-04,2018-10-04,2018-10-05,2019-01-07,5.56650672572086e-09,0.9999999944332242,-0.0015190686582807007,0.009422811504530256,-0.1612118270168484,0.9061267744715757,63,unfiltered,1.0
12,2018-01-05,2019-01-07,2019-01-08,2019-04-05,0.9999999997005625,2.992598411210184e-10,6.618307482445396e-05,9.698233390600954e-07,68.24240267159925,1.004178099737068,63,unfiltered,1.0
13,2018-04-06,2019-04-05,2019-04-08,2019-07-08,1.5079978879157707e-09,0.9999999984917489,7.460205620180168e-05,0.0044848474279901894,0.016634246181086557,1.0040741625774015,63,unfiltered,1.0
14,2018-07-06,2019-07-08,2019-07-09,2019-10-07,5.800420464967251e-10,0.9999999994198825,-2.472877449185641e-05,0.0054767893785526095,-0.0045151954516811565,0.9974974659127568,63,unfiltered,1.0
